candidate,rank,seed,e3_ca_rmsd_A,ligand_rmsd_A,native_contact_recall,contact_precision
s44_c21,76,44,63.528552696490515,9.122864913717478,0.0,0.0
s42_c6,77,42,53.200366191991634,7.362546736753948,0.0,0.0
s43_c2,78,43,52.20433524892539,11.731644264580959,0.0,0.0
s42_c14,79,42,57.53113104619522,7.335257312013567,0.12195121951219512,0.004488330341113106
s44_c17,80,44,58.678418605548046,9.693341563367978,0.17073170731707318,0.006375227686703097
s44_c31,81,44,62.72928865262055,12.67041076022888,0.0,0.0
s42_c3,82,42,54.18054041964384,13.27829586236385,0.0,0.0
s42_c16,83,42,56.98995215739855,9.082083134136811,0.024390243902439025,0.0008244023083264633
s43_c21,84,43,38.52981059089909,15.45974942025999,0.0,0.0
s44_c9,85,44,44.012522356009235,12.289627507483088,0.0,0.0
s43_c5,86,43,51.17444419358312,10.231391950940848,0.024390243902439025,0.0008250825082508251
s44_c13,87,44,54.48856276086051,13.267906242757459,0.024390243902439025,0.0008673026886383347
s44_c19,88,44,49.599061780482664,9.427790706191308,0.0,0.0
s44_c0,89,44,64.8549442646574,14.805185000071564,0.0,0.0
s43_c10,90,43,54.95217662654964,13.208383583166682,0.0,0.0
s44_c16,91,44,56.51578493631303,15.784980825746139,0.0,0.0
s42_c9,92,42,49.39299606859488,10.281936493036191,0.0,0.0
s43_c9,93,43,59.79349308397856,14.339981354955386,0.0,0.0
s44_c12,94,44,51.76797592347654,12.913531685090891,0.07317073170731707,0.0021337126600284497
s43_c13,95,43,64.01853334674027,10.735362860110468,0.14634146341463414,0.004216444132115249
s42_c13,96,42,54.514463821990866,13.089779536916668,0.024390243902439025,0.0006891798759476223
