candidate,chemical_valid,contact_precision,dockq,dockq_fnat,dockq_irmsd_A,dockq_lrmsd_A,dockq_status,e3_anchor_local_rmsd_A,e3_ca_rmsd_A,e3_head_local_rmsd_A,e3_ligand_clashes_2A,e3_ligand_contacts_5A,e3_ligand_vdw_clashes,errors,joint_success,ligand_rmsd_A,ligand_success,ligand_symmetry_rmsd_A,native_contact_recall,no_ppi_fallback_success,pb_checks,pb_mol_fast_valid,poi_anchor_local_rmsd_A,poi_head_local_rmsd_A,poi_ligand_clashes_2A,poi_ligand_contacts_5A,poi_ligand_vdw_clashes,ppi_clashes_2A,ppi_contacts_5A,ppi_success,ppi_vdw_clashes,rank,seed,stereo_valid,steric_valid
s44_c22,True,0.0111731843575419,0.0761517989286624,0.13333333333333333,8.916654433200694,31.567625408926997,assessed,0.29828534604051976,49.91522658415737,,48,18,84,[],,11.816734309699457,False,11.797215394396302,0.13333333333333333,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.04967798428725188,,48,30,101,178,179,False,361,31,44,True,False
s43_c2,True,0.0,0.02725362355177982,0.0,8.743870987804193,35.86804981409243,assessed,0.30043674308878715,41.10827783095832,,16,11,32,[],,9.846698307193119,False,9.839979448788656,0.0,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.043360239834766924,,54,29,105,213,191,False,388,32,43,True,False
s42_c25,True,0.018404907975460124,0.12991586545509506,0.2,5.693375029732162,22.505378075813436,assessed,0.296610634617397,37.36338209905602,,29,21,61,[],,11.731105027677295,False,11.707423733966445,0.2,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.043698497120592206,,89,27,157,177,163,False,326,33,42,True,False
s42_c3,True,0.0,0.027950693268774477,0.0,12.430648617815036,31.101756772768923,assessed,0.30404918677636633,53.40243193609559,,3,7,8,[],,11.490403030560659,False,11.460810160007345,0.0,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.04418351049001897,,64,23,103,237,237,False,432,34,42,True,False
s42_c14,True,0.013452914798206279,0.08794853325460301,0.2,13.060690093876506,36.73192630657207,assessed,0.03997557823081962,47.872860489571046,,35,16,65,[],,12.75883968251429,False,12.72920425288925,0.2,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.043152020248547765,,67,28,132,227,223,False,439,35,42,True,False
s43_c24,True,0.009523809523809525,0.1009748617013701,0.2,8.980061026746661,29.68432919292617,assessed,0.03083409909559411,38.59478843243866,,73,20,127,[],,7.428801010770099,False,7.406598580944133,0.2,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.04509447069697035,,22,20,38,255,315,False,507,36,43,True,False
s43_c25,True,0.01195219123505976,0.10983766539983382,0.2,8.689432011899283,25.418680575766277,assessed,0.02919567129279406,28.1177839591182,,75,27,137,[],,6.8215756944948325,False,6.786126348310532,0.2,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.04380807551897464,,34,21,75,267,251,False,512,37,43,True,False
s42_c29,True,0.0,0.020984015085821844,0.0,9.973731553786251,41.19616082991418,assessed,0.028184819344388445,57.288590062796956,,0,10,0,[],,11.70627954420401,False,11.70627954420401,0.0,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.04541599897464471,,60,30,107,316,282,False,562,38,42,True,False
s43_c29,True,0.0,0.024675301198649052,0.0,12.307422895106365,33.82753452634693,assessed,0.27382489091267176,41.163018207009365,,5,10,14,[],,8.857398566936247,False,8.849197652497574,0.0,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.04341753913544404,,36,19,80,336,308,False,627,39,43,True,False
s44_c9,True,0.008695652173913044,0.10691912650567525,0.2,8.612488118173092,26.813284044008153,assessed,0.07025150051899459,46.069292650674804,,14,19,33,[],,11.220250669049484,False,11.199846129657518,0.2,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.04339833234521475,,17,21,31,356,345,False,655,40,44,True,False
