candidate,rank,seed,e3_ca_rmsd_A,ligand_rmsd_A,native_contact_recall,contact_precision
s43_c31,80,43,44.31793176689748,12.6068122245778,0.13333333333333333,0.003246753246753247
s43_c4,81,43,48.621726813078055,8.164989643137332,0.13333333333333333,0.00303951367781155
s43_c18,82,43,50.164354229638185,10.407400618179219,0.06666666666666667,0.0015174506828528073
s42_c20,83,42,53.891417896065114,9.416774244909728,0.0,0.0
s42_c28,84,42,44.61235937407628,10.568255649353077,0.3333333333333333,0.0072992700729927005
s43_c27,85,43,40.77919809755507,12.422271288249409,0.26666666666666666,0.006069802731411229
s42_c31,86,42,47.758491672022025,10.45357840728925,0.0,0.0
s43_c16,87,43,51.33791718252866,12.088272516828008,0.26666666666666666,0.0053475935828877
s42_c30,88,42,55.70225908054631,11.580908766624121,0.06666666666666667,0.0012515644555694619
s42_c21,89,42,38.7113427348832,10.383036982529903,0.0,0.0
s44_c20,90,44,38.7113427348832,10.383036982529903,0.0,0.0
s44_c26,91,44,49.91010336951199,14.473561004402189,0.06666666666666667,0.001321003963011889
s42_c26,92,42,43.54449112643923,8.504450319565144,0.0,0.0
s42_c9,93,42,47.93302386910541,10.451481328366771,0.13333333333333333,0.0023837902264600714
s43_c26,94,43,48.932958129508386,10.026982558954586,0.13333333333333333,0.0023837902264600714
s43_c13,95,43,49.400944549156975,10.20883015159354,0.0,0.0
s44_c21,96,44,49.68385146084267,9.224076499992567,0.06666666666666667,0.0011494252873563218
